,mz,ISP2_2_MR1_1|D1|9b176338-f1f4-4b97-ab07-483c98d3b21e,ISP2_2_MR1_2|D2|dd613e71-0682-4482-a1f3-7eef4a1e2a89,ISP2_2_MR1_3|D3|6ce3ad15-4880-4e70-a1f9-3cd79bfadc84,ISP2_2_MR1_4|D4|c5ab95ee-1ae7-4c8d-9d24-a8fc6285f581,ISP2_2_MR1_5|D5|7bc3e656-d008-4e41-9aa9-7bc45307b012
0,116.0515,0.0,0.0,0.0,0.0,1163.0
1,121.067,0.0,0.0,0.0,0.0,284.0
2,129.106,0.0,426.0,0.0,0.0,229.0
3,129.1419,0.0,426.0,0.0,0.0,229.0
4,130.0991,0.0,0.0,0.0,235.0,0.0
5,131.0508,0.0,0.0,0.0,0.0,365.0
6,133.0775,717.0,967.0,619.0,590.0,438.0
7,133.0793,2868.0,3868.0,2476.0,2360.0,1752.0
8,134.0985,0.0,434.0,284.0,295.0,0.0
9,134.1003,0.0,868.0,568.0,590.0,0.0
10,135.0334,0.0,840.0,0.0,0.0,568.0
11,135.094,16730.0,16180.0,12555.0,9730.0,11495.0
12,136.025,35895.0,1593.0,717.0,34323.0,723.0
13,136.0637,47860.0,83544.0,22648.0,45764.0,60852.0
14,136.0656,11965.0,20886.0,5662.0,11441.0,15213.0
15,136.0785,2332.0,2724.0,1408.0,1608.0,1008.0
16,136.0803,583.0,681.0,352.0,402.0,252.0
17,136.0987,1020.0,1188.0,860.0,804.0,668.0
18,136.1006,1020.0,1188.0,860.0,804.0,668.0
19,136.1024,510.0,594.0,430.0,402.0,326.0
20,137.0258,2472.0,1832.0,1068.0,2172.0,1764.0
21,137.0277,618.0,458.0,267.0,543.0,441.0
22,137.0665,909.0,1250.0,385.0,729.0,1146.0
23,137.0684,3636.0,5000.0,1540.0,2916.0,4584.0
24,137.0721,909.0,1250.0,402.0,729.0,1146.0
25,137.1109,15250.0,13305.0,7200.0,8170.0,8385.0
26,138.0581,0.0,0.0,263.0,0.0,340.0
27,138.0934,442.0,0.0,263.0,0.0,340.0
28,138.1138,884.0,0.0,0.0,0.0,512.0
29,139.0887,886.0,1132.0,642.0,614.0,584.0
30,139.0906,1329.0,1698.0,963.0,921.0,876.0
31,139.126,4315.0,3345.0,2760.0,1680.0,1890.0
32,140.0708,708.0,405.0,633.0,379.0,443.0
33,140.0726,2124.0,1215.0,1899.0,1137.0,1329.0
34,140.0838,1806.0,2438.0,1266.0,718.0,1490.0
35,140.0857,2709.0,3657.0,1899.0,1077.0,2235.0
36,141.1051,15690.0,11165.0,8255.0,6950.0,8025.0
37,142.0678,0.0,836.0,494.0,488.0,656.0
38,142.0885,0.0,418.0,247.0,244.0,328.0
39,142.0998,0.0,418.0,247.0,244.0,328.0
40,143.0395,0.0,0.0,0.0,0.0,260.0
41,143.0754,0.0,0.0,0.0,0.0,298.0
42,143.9273,0.0,0.0,0.0,1128.0,592.0
43,144.0468,7699.0,7491.0,5315.0,3263.0,7967.0
44,144.0487,30796.0,29964.0,21260.0,13052.0,31868.0
45,144.0828,15340.0,10480.0,7224.0,7244.0,9884.0
46,144.0847,3835.0,2620.0,1806.0,1811.0,2471.0
47,145.0519,2454.0,1803.0,1755.0,1524.0,3123.0
48,145.0538,1636.0,1202.0,1170.0,1016.0,2082.0
49,145.0785,3824.0,4168.0,4128.0,2464.0,2600.0
50,145.0804,956.0,1042.0,1032.0,616.0,650.0
51,145.0861,956.0,1042.0,301.0,616.0,366.0
52,145.088,956.0,1042.0,301.0,616.0,366.0
53,146.0623,8248.0,8548.0,6632.0,9768.0,12880.0
54,146.0642,2062.0,2137.0,1658.0,2442.0,3220.0
55,146.0738,970.0,4274.0,954.0,612.0,772.0
56,146.0757,970.0,1592.0,954.0,612.0,772.0
57,146.0853,1300.0,1592.0,636.0,612.0,622.0
58,146.0872,1300.0,1592.0,636.0,612.0,622.0
59,146.0986,2792.0,2124.0,1208.0,1080.0,1168.0
60,146.1005,698.0,531.0,302.0,270.0,292.0
61,147.0476,6530.0,6465.0,3135.0,4420.0,6890.0
62,147.0591,1306.0,1293.0,284.0,884.0,362.0
63,147.0687,2612.0,2586.0,752.0,978.0,724.0
64,147.0706,1306.0,1293.0,376.0,489.0,362.0
65,147.0821,1731.0,1426.0,376.0,424.0,362.0
66,147.0955,8655.0,7130.0,6825.0,5355.0,4875.0
67,147.1147,511.0,672.0,354.0,380.0,318.0
68,147.1166,2044.0,2688.0,1416.0,1520.0,1272.0
69,148.0534,1167.0,832.0,241.0,515.0,662.0
70,148.0784,5835.0,4160.0,4085.0,2575.0,3310.0
71,148.09,1284.0,1684.0,1497.0,732.0,1986.0
